PRAÇA;PREÇO;VENCIMENTO;MOEDA;CULTURA
SÃO GABRIEL-MT;$ 18,65;30/04/2026;Dólar;SOJA
DOURADOS-MS;$ 19,11;30/04/2026;Dólar;SOJA
CRUZ ALTA-RS;$ 20,27;30/04/2026;Dólar;SOJA
SANTA MARIA-RS;$ 20,51;30/04/2026;Dólar;SOJA
VILHENA-RO;$ 17,41;30/04/2026;Dólar;SOJA
CAMPO MOURAO-PR;$ 19,96;30/04/2026;Dólar;SOJA
CASCAVEL-PR;$ 20,04;30/04/2026;Dólar;SOJA
LUIS EDUARDO MAGALHAES-BA;$ 18,57;30/04/2026;Dólar;SOJA
BARREIRAS-BA;$ 18,57;30/04/2026;Dólar;SOJA
PARAGOMINAS-PA;$ 18,49;30/04/2026;Dólar;SOJA
TAILÂNDIA-PA;$ 18,80;30/04/2026;Dólar;SOJA
DOM ELISEU-PA;$ 18,34;30/04/2026;Dólar;SOJA
RONDON DO PARÁ-PA;$ 18,18;30/04/2026;Dólar;SOJA
AÇAILÂNDIA-MA;$ 18,03;30/04/2026;Dólar;SOJA
SELECIONE A PRAÇA DESEJADA;$ 0,00;30/05/2026;Dólar;SOJA
AGUA BOA-MT;$ 14,93;30/05/2026;Dólar;SOJA
RONDONOPOLIS-MT;$ 15,46;30/05/2026;Dólar;SOJA
CAMPO NOVO PARECIS-MT;$ 14,79;30/05/2026;Dólar;SOJA
SORRISO-MT;$ 14,79;30/05/2026;Dólar;SOJA
JUARA-MT;$ 14,71;30/05/2026;Dólar;SOJA
BRASNORTE-MT;$ 14,73;30/05/2026;Dólar;SOJA
SINOP-MT;$ 14,75;30/05/2026;Dólar;SOJA
QUERENCIA-MT;$ 14,93;30/05/2026;Dólar;SOJA
PRIMAVERA DO LESTE-MT;$ 15,33;30/05/2026;Dólar;SOJA
NOVA MUTUM-MT;$ 14,99;30/05/2026;Dólar;SOJA
CANARANA-MT;$ 14,73;30/05/2026;Dólar;SOJA
SÃO GABRIEL-MT;$ 16,46;30/05/2026;Dólar;SOJA
DOURADOS-MS;$ 16,85;30/05/2026;Dólar;SOJA
CRUZ ALTA-RS;$ 17,73;30/05/2026;Dólar;SOJA
SANTA MARIA-RS;$ 17,87;30/05/2026;Dólar;SOJA
VILHENA-RO;$ 15,18;30/05/2026;Dólar;SOJA
CAMPO MOURAO-PR;$ 17,47;30/05/2026;Dólar;SOJA
CASCAVEL-PR;$ 17,53;30/05/2026;Dólar;SOJA
LUIS EDUARDO MAGALHAES-BA;$ 16,26;30/05/2026;Dólar;SOJA
BARREIRAS-BA;$ 16,26;30/05/2026;Dólar;SOJA
PARAGOMINAS-PA;$ 16,19;30/05/2026;Dólar;SOJA
TAILÂNDIA-PA;$ 16,46;30/05/2026;Dólar;SOJA
DOM ELISEU-PA;$ 16,06;30/05/2026;Dólar;SOJA
RONDON DO PARÁ-PA;$ 15,92;30/05/2026;Dólar;SOJA
AÇAILÂNDIA-MA;$ 15,79;30/05/2026;Dólar;SOJA
